"bin.name"	"smp.name"	"coverage"	"smp.date"	"stn"	"transect"	"region"	"waters"	"season"	"scientific.name"	"tax.id"	"common.name"	"completeness.score"	"contamination.score"	"accession"	"domain"	"phylum"	"class"	"order"	"family"	"genus"
"METABAT__102"	"20170809_SI8"	11.8007928854329	2017-08-09	"SI8"	"SI"	"North"	"oceanic"	"Summer"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20170530_SB5"	0.000152869942075031	2017-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20170521_SI8"	0.218040691430748	2017-05-21	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20170809_SI3"	0.0165463877469646	2017-08-09	"SI3"	"SI"	"North"	"coastal"	"Summer"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20180518_SI8"	0.230797688096909	2018-05-18	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20170818_SB2"	0.00731661021094778	2017-08-18	"SB2"	"SB"	"South"	"coastal"	"Summer"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20150530_SB5"	0.000181405664595704	2015-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20160531_SB5"	0.000152869942075031	2016-05-31	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20180529_SB5"	9.63080635072696e-05	2018-05-29	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20160523_SI8"	0.124784676317006	2016-05-23	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20180520_SI3"	0.0361672448122948	2018-05-20	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__102"	"20170818_SB5"	0.019842518481339	2017-08-18	"SB5"	"SB"	"South"	"oceanic"	"Summer"	"Akkermansiaceae bacterium"	2562705	"Unknown_Verrucomicrobia"	84.5	8.4	"ERS5597042"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansiaceae bacterium"
"METABAT__104"	"20180216_SI8"	0.377643952717375	2018-02-16	"SI8"	"SI"	"North"	"oceanic"	"Winter"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20180529_SB2"	28.5672689511049	2018-05-29	"SB2"	"SB"	"South"	"coastal"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20170809_SI3"	5.53629831569623	2017-08-09	"SI3"	"SI"	"North"	"coastal"	"Summer"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20160523_SI8"	8.60068126081267	2016-05-23	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20150530_SB5"	20.5326547958439	2015-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20160531_SB5"	17.287097037741	2016-05-31	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20170818_SB2"	4.41976086355147	2017-08-18	"SB2"	"SB"	"South"	"coastal"	"Summer"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20170521_SI8"	27.5842323883402	2017-05-21	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20170522_SI3"	39.9025860104318	2017-05-22	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20180529_SB5"	6.5364832150121	2018-05-29	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20180518_SI8"	7.59757308897957	2018-05-18	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20170809_SI8"	11.7594137401692	2017-08-09	"SI8"	"SI"	"North"	"oceanic"	"Summer"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20170818_SB5"	4.84049567349934	2017-08-18	"SB5"	"SB"	"South"	"oceanic"	"Summer"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20170530_SB5"	6.15381688087754	2017-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__104"	"20180520_SI3"	16.319087486043	2018-05-20	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Cryomorphaceae bacterium"	1898111	"Unknown_Cryomorphaceae"	69.01	5.6	"ERS5597043"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"MAG-121220-bin8"
"METABAT__116"	"20170809_SI3"	4.00097768928371	2017-08-09	"SI3"	"SI"	"North"	"coastal"	"Summer"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20150530_SB5"	0.000505437279828458	2015-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20160523_SI8"	0.0166789196916322	2016-05-23	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20170818_SB5"	0.220798488793588	2017-08-18	"SB5"	"SB"	"South"	"oceanic"	"Summer"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20180529_SB5"	0.000644304896104559	2018-05-29	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20170530_SB5"	0.000306325624138459	2017-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20170809_SI8"	3.64369786082606	2017-08-09	"SI8"	"SI"	"North"	"oceanic"	"Summer"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20170522_SI3"	4.52321539796804	2017-05-22	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20170521_SI8"	0.139164752131516	2017-05-21	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20160531_SB5"	0.0051284014907847	2016-05-31	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20180518_SI8"	0.0502940725991729	2018-05-18	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20180520_SI3"	2.00073518149793	2018-05-20	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20180216_SI8"	0.0502583346096901	2018-02-16	"SI8"	"SI"	"North"	"oceanic"	"Winter"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20180529_SB2"	0.0757124623474754	2018-05-29	"SB2"	"SB"	"South"	"coastal"	"Spring"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__116"	"20170818_SB2"	2.00579057538163	2017-08-18	"SB2"	"SB"	"South"	"coastal"	"Summer"	"Gammaproteobacteria bacterium"	1913989	"Unknown_Gammaproteobacteria"	81.69	4.2	"ERS5597044"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"
"METABAT__118"	"20180518_SI8"	3.41137922655952	2018-05-18	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20180216_SI8"	3.77394896187508	2018-02-16	"SI8"	"SI"	"North"	"oceanic"	"Winter"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20160523_SI8"	2.37956367053553	2016-05-23	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20180529_SB5"	0.000598593305731531	2018-05-29	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20170818_SB5"	0.00636809948234552	2017-08-18	"SB5"	"SB"	"South"	"oceanic"	"Summer"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20170530_SB5"	0.00107569791634819	2017-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20170809_SI3"	0.0795702679348692	2017-08-09	"SI3"	"SI"	"North"	"coastal"	"Summer"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20180529_SB2"	0.4364807219164	2018-05-29	"SB2"	"SB"	"South"	"coastal"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20170818_SB2"	0.031201676061256	2017-08-18	"SB2"	"SB"	"South"	"coastal"	"Summer"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20170809_SI8"	1.97212518323874	2017-08-09	"SI8"	"SI"	"North"	"oceanic"	"Summer"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20160531_SB5"	0.00182957147477621	2016-05-31	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20170521_SI8"	2.43386992181277	2017-05-21	"SI8"	"SI"	"North"	"oceanic"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20170522_SI3"	0.061907742611315	2017-05-22	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20180520_SI3"	0.084949562077505	2018-05-20	"SI3"	"SI"	"North"	"coastal"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__118"	"20150530_SB5"	0.00458277885678333	2015-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Porticoccaceae bacterium"	2026782	"Porticoccus"	92.95	5.6	"ERS5597045"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Porticoccaceae"	"Porticoccus"
"METABAT__119"	"20150530_SB5"	0.216722458427436	2015-05-30	"SB5"	"SB"	"South"	"oceanic"	"Spring"	"Burkholderiales bacterium"	1891238	"Burkholderia"	76.05	5.6	"ERS5597046"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Burkholderia"
